Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary,OFF,WAR
Gleyber Torres,0.745,16,0.256,74,2B,Tigers,15000000,3.3,2.9
Alejandro Kirk,0.769,15,0.282,76,C,Blue Jays,4600000,2.3,2.3
Otto Lopez,0.673,15,0.246,77,2B,Marlins,778500,2.2,3.5
Marcus Semien,0.669,15,0.23,62,2B,Rangers,26000000,2.7,3.5
Trea Turner,0.812,15,0.304,69,SS,Phillies,27272727,5.3,5.5
Jonathan Aranda,0.882,14,0.316,59,DH,Rays,766500,2.7,3.4
TJ Friedl,0.742,14,0.261,53,OF,Reds,780000,3.4,2.3
Danny Jansen,0.72,14,0.215,36,C,Rays,8000000,1.7,2.6
Dillon Dingler,0.752,13,0.278,57,C,Tigers,762600,2.9,3.1
Matt Shaw,0.689,13,0.226,44,3B,Cubs,760000,1.9,3.1
Bryson Stott,0.719,13,0.257,66,2B,Phillies,3200000,2.3,2.1
Jacob Wilson,0.799,13,0.311,63,SS,Athletics,760000,4.0,2.9
J.P. Crawford,0.722,12,0.265,58,SS,Mariners,11000000,4.0,3.7
Sal Frelick,0.756,12,0.288,63,OF,Brewers,771800,2.4,3.0
Zach McKinstry,0.771,12,0.259,49,3B,Tigers,1650000,3.1,2.9
Jake Cronenworth,0.744,11,0.246,59,2B,Padres,11285714,3.2,2.4
Steven Kwan,0.704,11,0.272,56,OF,Guardians,4175000,1.3,3.7
Edmundo Sosa,0.776,11,0.276,39,INF,Phillies,3000000,1.4,2.3
Brendan Donovan,0.775,10,0.287,50,2B,Cardinals,2850000,3.1,2.7
Josh Smith,0.701,10,0.251,35,INF,Rangers,780500,3.3,3.0
Ernie Clement,0.711,9,0.277,50,3B,Blue Jays,1975000,1.9,4.3
Masyn Winn,0.673,9,0.253,51,SS,Cardinals,770850,2.0,2.2
Nico Hoerner,0.739,7,0.297,61,2B,Cubs,11500000,4.5,6.1
Jared Triolo,0.667,7,0.227,24,INF,Pirates,775000,1.4,2.4
Myles Straw,0.68,4,0.262,32,OF,Blue Jays,6000000,0.9,2.9
Taylor Walls,0.599,4,0.22,38,INF,Rays,1350000,0.6,2.6
Xavier Edwards,0.696,3,0.283,43,SS,Marlins,772000,2.3,3.2
Jake Meyers,0.727,3,0.292,24,OF,Astros,2300000,1.9,2.5
Bryan Abreu,0.0,0,0.0,0,RHP,Astros,3450000,0.0,2.6
Aroldis Chapman,0.0,0,0.0,0,LHP,Red Sox,10750000,0.0,3.5
Jhoan Duran,0.0,0,0.0,0,RHP,Twins,4125000,0.0,3.2
Josh Hader,0.0,0,0.0,0,LHP,Astros,19000000,0.0,2.3
Kenley Jansen,0.0,0,0.0,0,RHP,Angels,10000000,0.0,2.4
Ryne Nelson,2.0,0,1.0,1,RHP,Diamondbacks,825000,0.1,3.5
Trevor Rogers,0.0,0,0.0,0,LHP,Orioles,2600000,-0.0,5.5
Tyler Rogers,0.0,0,0.0,0,RHP,Giants,5250000,0.0,2.4
Garrett Whitlock,0.0,0,0.0,0,RHP,Red Sox,5500000,0.0,2.4
