Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary
Christian Walker,0.718,27,0.238,88,1B,Astros,20000000
Jose Altuve,0.771,26,0.265,77,OF,Astros,33000000
Kerry Carpenter,0.788,26,0.252,62,OF,Tigers,796800
Zach Neto,0.793,26,0.257,62,SS,Angels,780000
Jorge Polanco,0.821,26,0.265,78,2B,Mariners,7000000
Ben Rice,0.836,26,0.255,65,DH,Yankees,782800
Mike Trout,0.798,26,0.232,64,OF,Angels,37116667
Brandon Nimmo,0.76,25,0.262,92,OF,Mets,20500000
Tyler Soderstrom,0.82,25,0.276,93,1B,Athletics,765000
Trevor Story,0.741,25,0.263,96,SS,Red Sox,22500000
Kyle Stowers,0.912,25,0.288,73,OF,Marlins,768200
Freddie Freeman,0.869,24,0.295,90,1B,Dodgers,23353561
Mickey Moniak,0.824,24,0.27,68,OF,Rockies,1250000
Giancarlo Stanton,0.944,24,0.273,66,DH,Yankees,32000000
Dansby Swanson,0.717,24,0.244,77,SS,Cubs,28000000
Ian Happ,0.762,23,0.243,79,OF,Cubs,21000000
Wilyer Abreu,0.786,22,0.247,69,OF,Red Sox,780000
Josh Bell,0.742,22,0.237,63,DH,Nationals,6000000
Elly De La Cruz,0.776,22,0.264,86,SS,Reds,770000
Wyatt Langford,0.775,22,0.241,62,OF,Rangers,773500
Lenyn Sosa,0.727,22,0.264,75,2B,White Sox,770000
Kyle Tucker,0.841,22,0.266,73,OF,Cubs,16500000
Matt Wallner,0.775,22,0.202,40,OF,Twins,770750
Lawrence Butler,0.71,21,0.234,63,OF,Athletics,765000
Matt Chapman,0.77,21,0.231,61,3B,Giants,25166667
Jackson Chourio,0.771,21,0.27,78,OF,Brewers,4250000
Marcell Ozuna,0.755,21,0.232,68,DH,Braves,16000000
Heliot Ramos,0.728,21,0.256,69,OF,Giants,780000
Corey Seager,0.86,21,0.271,50,SS,Rangers,32500000
Spencer Steer,0.723,21,0.238,75,DH,Reds,780000
Austin Wells,0.711,21,0.219,71,C,Yankees,801400
Andrew Benintendi,0.738,20,0.24,63,OF,White Sox,17100000
Mookie Betts,0.732,20,0.258,82,SS,Dodgers,26158692
Willson Contreras,0.791,20,0.257,80,C,Cardinals,18000000
Oneil Cruz,0.676,20,0.2,61,SS,Pirates,785000
Yainer Diaz,0.701,20,0.256,70,C,Astros,805600
